code,description
WHDEL-DP,Destination Delivery Fee-Parcel Dispute
WHENO,warehouse operation error/failure
WHIHDL,Warehouse Inbound Handling Fee
WHLOAD,Warehouse Loading Fee
WHOHDL,Warehouse Outbound Handling Fee
WHOTHERS,Warehouse other Fee
WHPAL,Warehouse Pallet
WHRALL,Warehouse Revenue Allowance
WHSTR,Warehouse Storage
WHSUP,Warehouse Supplies Fee
WHSVC,Warehouse Service Fee
WHSVC-VAT,Warehouse Service Fee (VAT)
WHTRANS,Transportation Service Fee
WKEDDEL,WEEKEND DELIVERY
WRS,Wear Risk Surcharge
XAPPT,Appointment Fees
XDDC,Destination Delivery Charge
XDDRN,Destination Dry Run
XDFSC,Delivery Fuel Surcharge
XDEL,Inside Delivery Fees
XLIFT,Liftgate Fee
XOVWE,Destination Over Weight Charge
XRAY,X-Ray Exam
XREDEL,Redelivery Fees
XRESDEL,Residential Fees
XREWEIGHT,Reweight / Class Correction Fees
XSORT,Sort & Segregation Fees
XSTR,Destination Yard Storage Fee
XTOFE,Destination Toll Fee
XTRSL,Trans Loading
XWAIT,Destination Waiting Fee
XWKEDDEL,WEEKEND DELIVERY
YSPB,Yangshan PB
